data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,nuovi_casi,totale_casi
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,1,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,0,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,0,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,1,7
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,0,3
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,1,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,4,9
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,1,3
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,0,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,1,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,0,0
